               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.19256,           0.0025349,              0.0481,          2.6072e-05,           0.0027473,          1.3187e-05,          6.5936e-06,             0.19412,           0.0017235,            0.049405,             0.00017,             0.00017,             0.09847
                   1,             0.18801,           0.0025602,            0.047822,                   0,                   0,                   0,                   0,             0.18714,           0.0019441,            0.048569,          0.00034992,          0.00034992,             0.09685
                   2,             0.18249,           0.0026173,            0.046997,          5.0622e-05,           0.0055556,           1.627e-05,           4.881e-06,             0.18047,           0.0021955,            0.047935,          0.00052953,          0.00052953,             0.09523
                   3,             0.17721,           0.0027135,            0.046753,                   0,                   0,                   0,                   0,             0.17454,           0.0023619,            0.047183,          0.00070858,          0.00070858,            0.093609
                   4,              0.1719,           0.0028546,            0.046443,                   0,                   0,                   0,                   0,              0.1702,            0.002539,            0.046591,          0.00088684,          0.00088684,            0.091987
                   5,             0.16908,           0.0029976,            0.046168,                   0,                   0,                   0,                   0,              0.1669,           0.0026568,            0.046103,           0.0010641,           0.0010641,            0.090364
                   6,             0.16599,           0.0030143,            0.045335,                   0,                   0,                   0,                   0,             0.16367,           0.0027191,            0.045088,             0.00124,             0.00124,             0.08874
                   7,             0.15441,           0.0033068,            0.042084,                   0,                   0,                   0,                   0,             0.16092,           0.0028469,            0.044522,           0.0014145,           0.0014145,            0.087115
                   8,             0.16145,           0.0032378,             0.04362,                   0,                   0,                   0,                   0,             0.15845,           0.0029634,            0.043493,           0.0015872,           0.0015872,            0.085487
                   9,             0.15881,           0.0036599,            0.042544,          6.0335e-05,           0.0027473,          1.3206e-05,          2.6412e-06,             0.15726,           0.0028997,            0.042177,            0.001758,            0.001758,            0.083858
                  10,             0.15719,           0.0037324,            0.042064,          0.00013615,            0.022161,          7.2902e-05,          1.8298e-05,             0.15516,           0.0031357,            0.041038,           0.0019266,           0.0019266,            0.082227
                  11,             0.15547,           0.0038686,            0.040968,          0.00018641,            0.024969,          9.7035e-05,          2.3605e-05,             0.15324,           0.0033093,            0.039867,           0.0020928,           0.0020928,            0.080593
                  12,             0.15311,           0.0043737,            0.039826,          0.00099414,            0.027778,          0.00026735,          4.9984e-05,             0.15181,            0.003419,            0.038209,           0.0022564,           0.0022564,            0.078956
                  13,             0.15369,           0.0038103,            0.038562,           0.0012034,            0.011111,          0.00023806,          7.6011e-05,                0.15,           0.0035839,            0.037481,           0.0024171,           0.0024171,            0.077317
                  14,             0.15294,           0.0039182,            0.038311,             0.03782,            0.011111,           0.0080252,           0.0016951,             0.14882,           0.0036846,            0.036887,           0.0025748,           0.0025748,            0.075675
                  15,             0.14997,           0.0043125,            0.036093,             0.90801,            0.011111,           0.0091947,           0.0022392,             0.14766,           0.0038765,             0.03526,           0.0027292,           0.0027292,            0.074029
                  16,             0.14882,           0.0050717,            0.035378,             0.05825,            0.057602,            0.006947,           0.0014345,             0.14617,           0.0040131,            0.034573,           0.0028802,           0.0028802,             0.07238
                  17,             0.14638,           0.0057177,            0.034138,            0.022027,             0.12811,            0.010828,           0.0016814,             0.14546,            0.003941,            0.032489,           0.0030276,           0.0030276,            0.070728
                  18,             0.14674,           0.0051029,            0.034234,             0.10049,            0.090936,            0.038905,           0.0095687,             0.14372,           0.0040706,            0.032347,           0.0031711,           0.0031711,            0.069071
                  19,             0.14526,           0.0049738,            0.034044,              0.1221,              0.1076,            0.030847,           0.0061131,             0.14174,           0.0042612,            0.031676,           0.0033106,           0.0033106,            0.067411
                  20,             0.14178,           0.0054606,            0.032125,            0.048966,            0.090936,            0.033764,           0.0060118,             0.14071,           0.0042252,            0.030293,            0.003446,            0.003446,            0.065746
                  21,             0.14221,           0.0056599,            0.030453,             0.15917,             0.13156,             0.05336,            0.011936,              0.1387,           0.0043666,            0.029322,            0.003577,            0.003577,            0.064077
                  22,             0.13852,           0.0056114,            0.032186,            0.088044,             0.12244,            0.030199,           0.0071001,             0.13704,           0.0044943,            0.030708,           0.0037035,           0.0037035,            0.062403
                  23,              0.1383,           0.0064493,            0.030033,            0.064668,              0.2218,             0.03507,           0.0065442,             0.13499,           0.0045534,            0.031979,           0.0038253,           0.0038253,            0.060725
                  24,             0.14098,            0.005597,            0.028396,             0.49043,             0.11035,            0.084261,             0.01583,             0.13472,           0.0044474,            0.029627,           0.0039424,           0.0039424,            0.059042
                  25,             0.14081,            0.005952,            0.028972,             0.42645,             0.10199,            0.054408,            0.010949,             0.13485,           0.0044442,            0.026636,           0.0040545,           0.0040545,            0.057354
                  26,             0.13629,           0.0058643,            0.029042,              0.4105,             0.13456,            0.058706,           0.0092701,              0.1339,           0.0044508,            0.026069,           0.0041615,           0.0041615,            0.055662
                  27,             0.13578,           0.0063604,            0.026952,             0.10772,             0.16963,            0.075354,            0.013317,             0.13294,           0.0043799,            0.024525,           0.0042634,           0.0042634,            0.053963
                  28,             0.13664,           0.0055623,            0.028334,            0.088521,            0.073197,             0.03041,            0.003823,             0.13295,           0.0044983,            0.023535,           0.0043599,           0.0043599,             0.05226
                  29,             0.13411,           0.0062604,            0.025976,             0.24663,              0.1446,            0.077842,             0.01939,             0.13082,           0.0045755,            0.025723,           0.0044511,           0.0044511,            0.050551
                  30,             0.13676,           0.0057959,            0.024289,             0.10818,             0.22839,            0.061472,            0.019102,              0.1311,           0.0044659,            0.025634,           0.0045368,           0.0045368,            0.048837
                  31,             0.13416,           0.0057131,            0.025093,             0.28622,             0.16792,            0.098202,            0.021125,             0.12784,           0.0048294,            0.027624,           0.0046169,           0.0046169,            0.047117
                  32,             0.13466,           0.0063575,             0.02356,             0.14943,             0.19008,            0.094051,            0.021174,             0.12615,           0.0050315,            0.026458,           0.0046914,           0.0046914,            0.045391
                  33,             0.13545,           0.0062886,            0.023224,             0.18384,             0.26394,             0.11416,            0.022842,             0.12933,           0.0048197,            0.020494,           0.0047601,           0.0047601,             0.04366
                  34,             0.13307,           0.0067967,            0.021395,             0.23005,             0.20204,            0.085878,            0.021091,             0.12825,           0.0050261,            0.019992,           0.0048231,           0.0048231,            0.041923
                  35,             0.12936,           0.0070412,            0.020958,             0.36062,             0.20043,             0.12101,            0.029594,             0.12599,             0.00524,            0.023434,           0.0048803,           0.0048803,             0.04018
                  36,             0.13244,           0.0068406,            0.020553,             0.33317,             0.21149,             0.13928,            0.030075,             0.12767,           0.0051065,            0.021171,           0.0049316,           0.0049316,            0.038432
                  37,              0.1259,           0.0078019,            0.019494,             0.24571,             0.28259,             0.13355,            0.029708,             0.12827,           0.0051144,             0.02301,           0.0049771,           0.0049771,            0.036677
                  38,             0.13045,           0.0070297,             0.02063,             0.27234,             0.22423,             0.11111,            0.022062,             0.12467,           0.0052419,            0.021749,           0.0050167,           0.0050167,            0.034917
                  39,              0.1284,           0.0068448,            0.020266,             0.30374,             0.23426,             0.13728,            0.035367,             0.12438,           0.0053747,            0.020729,           0.0050505,           0.0050505,             0.03315
                  40,             0.12635,           0.0076083,            0.017264,             0.38892,             0.24089,             0.18534,            0.048591,             0.12439,           0.0052734,            0.020745,           0.0050784,           0.0050784,            0.031378
                  41,             0.12815,           0.0074926,            0.016901,             0.29562,             0.30205,             0.18883,            0.045544,             0.12283,           0.0052935,            0.027872,           0.0051004,           0.0051004,              0.0296
                  42,             0.12545,           0.0074492,            0.018007,             0.33282,             0.23848,             0.14696,            0.030214,             0.12229,           0.0056645,            0.020728,           0.0051166,           0.0051166,            0.027817
                  43,             0.12485,           0.0078424,            0.015792,             0.38333,             0.27084,             0.18738,            0.053792,             0.11899,            0.005921,            0.022018,            0.005127,            0.005127,            0.026027
                  44,             0.12786,           0.0070078,            0.014554,             0.31765,             0.23417,             0.14179,            0.039372,             0.12846,           0.0048375,            0.020553,           0.0051317,           0.0051317,            0.024232
                  45,              0.1262,           0.0073747,             0.01496,             0.32876,             0.24638,               0.182,            0.052034,              0.1227,           0.0057809,            0.020142,           0.0051307,           0.0051307,            0.022431
                  46,             0.12879,           0.0070323,            0.015711,             0.40635,             0.25578,             0.19418,            0.048606,             0.12536,           0.0053308,            0.019475,           0.0051241,           0.0051241,            0.020624
                  47,             0.12174,            0.007742,            0.014852,             0.28935,             0.27706,              0.2009,            0.045912,             0.11706,           0.0060834,            0.029331,            0.005112,            0.005112,            0.018812
